CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
91,2026-07-10T16:12:33.247,2026-07-10T16:12:33.274,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
92,2026-07-10T16:12:34.243,2026-07-10T16:12:34.267,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
93,2026-07-10T16:12:35.245,2026-07-10T16:12:35.267,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
94,2026-07-10T16:12:36.244,2026-07-10T16:12:36.269,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
95,2026-07-10T16:12:37.241,2026-07-10T16:12:37.264,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
96,2026-07-10T16:12:38.241,2026-07-10T16:12:38.263,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
97,2026-07-10T16:12:39.243,2026-07-10T16:12:39.264,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
98,2026-07-10T16:12:40.243,2026-07-10T16:12:40.263,21,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
99,2026-07-10T16:12:41.245,2026-07-10T16:12:41.271,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
100,2026-07-10T16:12:42.248,2026-07-10T16:12:42.270,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
101,2026-07-10T16:12:43.247,2026-07-10T16:12:43.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
102,2026-07-10T16:12:44.248,2026-07-10T16:12:44.269,21,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
103,2026-07-10T16:12:45.248,2026-07-10T16:12:45.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
104,2026-07-10T16:12:46.247,2026-07-10T16:12:46.268,21,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
105,2026-07-10T16:12:47.248,2026-07-10T16:12:47.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
